Postal District,General Location,Area,Longitude,Latitude
1,"Raffles Place, Cecil, Marina, People’s Park",Raffles,1.2846,103.851
2,"Anson, Tanjong Pagar",Anson,1.278,103.8404
3,"Queenstown, Tiong Bahru",Queenstown,1.2942,103.7861
4,"Telok Blangah, Harbourfront",Harbour Front,1.2587,103.8187
5,"Pasir Panjang, Hong Leong Garden, Clementi New Town",Pasir Panjang,1.3165,103.7574
6,"High Street, Beach Road (part)",High Street,1.272,103.8417
7,"Middle Road, Golden Mile",Golden Mile,1.3027,103.8651
8,Little India,Little India,1.3066,103.8518
9,"Orchard, Cairnhill, River Valley",Orchard,1.303,103.8258
10,"Ardmore, Bukit Timah, Holland Road, Tanglin",Bukit Timah,1.3294,103.8021
11,"Watten Estate, Novena, Thomson",Novena,1.3209,103.8424
12,"Balestier, Toa Payoh, Serangoon",Serangoon,1.3214,103.8528
13,"Macpherson, Braddell",Bradell,1.3437,103.8547
14,"Geylang, Eunos",Eunos,1.32,103.8917
15​,"Katong, Joo Chiat, Amber Road",Katong,1.3,103.9
16,"Bedok, Upper East Coast, Eastwood, Kew Drive",Bedok,1.3236,103.9273
17,"Loyang, Changi",Changi,1.345,103.9832
18,"Tampines, Pasir Ris",Tampines,1.372,103.9473
19​,"Serangoon Garden, Hougang, Punggol",Punggol,1.3638,103.8662
20,"Bishan, Ang Mo Kio",Bishan,1.3691,103.8454
21,"Upper Bukit Timah, Clementi Park, Ulu Pandan",Upper Bukit Timah,1.3206,103.7762
22,Jurong,Jurong,1.3328,103.7435
23​,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",Dairy Farm,1.3646,103.7732
25,"Kranji, Woodgrove",Kranji,1.4252,103.762
26​,"Upper Thomson, Springleaf",Upper Thompson,1.3277,103.8407
27​,"Yishun, Sembawang",Yishun,1.4303,103.8353
28,Seletar,Seletar,1.4051,103.8663
28,Marina Bay,Marina Bay,1.2834,103.8607
